"Nombre completo";"Entidad";"Complementos - Identificador";"Dirección";"Complementos - Teléfono";"Complementos - Está operativa";"Complementos - Número aprox. de usuarios";"Fecha de creación";
"Infraestructuras > Edif. Adm. > Planta 1 > Sala de reuniones";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Adm. > Planta 2";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Infraestructuras > Edif. Adm. > Planta 2 > Departamento de proyectos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Almacén Vía Pública";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Infraestructuras > Edif. Almacén Vía Pública > Unidad de mantenimiento vía pública";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Alumbrado público";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Infraestructuras > Edif. Alumbrado público > Alumbrado público";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Alumbrado público > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Infraestructuras > Edif. Alumbrado público > Planta 0 > Administración";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Alumbrado público > Planta 0 > Sala de control";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Alumbrado público > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Atarazana talleres";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Infraestructuras > Edif. Atarazana talleres > Atarazana - Talleres";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Atarazana talleres > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Capataces";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2023-09-13 11:36";
"Infraestructuras > Edif. Capataces > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Infraestructuras > Edif. Capataces > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Capataces > Planta 0 > Servicios centrales (Correo y Reparto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Capataces > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Infraestructuras > Edif. Capataces > Planta 1 > Sala de reuniones";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Capataces > Planta 1 > Unidad de alumbrado público";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Capataces > Planta 1 > Unidad de mantenimiento de edificios y colegios";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Capataces > Planta 1 > Unidad de mantenimiento vía pública";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Capataces > Planta 1 > Unidad de parque movil, talleres y montaje";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Carpintería talleres";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Infraestructuras > Edif. Carpintería talleres > Carpintería - Talleres";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Herrería talleres";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Infraestructuras > Edif. Herrería talleres > Herrería - Talleres";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Parque móvil";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Infraestructuras > Edif. Parque móvil > Unidad de parque movil, talleres y montaje";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Vigilante";"Ayuntamiento de Córdoba > Informática";"";"";"";"Sí";"0";"2022-11-10 08:14";
"Infraestructuras > Edif. Vigilante > Recepción";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Jardín Botánico";"Ayuntamiento de Córdoba > Informática";"S039";"Avenida Linneo, s/n. 14004 Córdoba";"957200077";"Sí";"0";"";
"Jardín Botánico > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Jardín Botánico > Planta 1 > Jardín botánico (IMGEMA) - Administración";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Jardín Botánico > Planta 1 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Kiosko Gran Capitán";"Ayuntamiento de Córdoba > Informática";"S098";"Avda. Gran Capitán esquina C/ Alonso de Aguilar";"";"Sí";"0";"2023-12-19 12:48";
"La Normal - sede CMTI";"Ayuntamiento de Córdoba > Informática";"S072";"Calle Priego de Córdoba, s/n. 14013 Córdoba";"957201372";"Sí";"50";"";
"La Normal - sede CMTI > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:33";
"La Normal - sede CMTI > Planta 0 > Centro";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"La Normal - sede CMTI > Planta 0 > Centro > Biblioteca Arrabal del sur";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 0 > Centro > Oficina clave";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 0 > Norte";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"La Normal - sede CMTI > Planta 0 > Norte > Armario comunicaciones";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2023-07-12 08:52";
"La Normal - sede CMTI > Planta 2";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2023-07-12 08:52";
"La Normal - sede CMTI > Planta 3";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:20";
"La Normal - sede CMTI > Planta 3 > Centro";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"La Normal - sede CMTI > Planta 3 > Norte";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"La Normal - sede CMTI > Planta 3 > Norte > Administración electrónica";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 3 > Sur";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"La Normal - sede CMTI > Planta 4";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:24";
"La Normal - sede CMTI > Planta 4 > Norte";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"La Normal - sede CMTI > Planta 4 > Norte > Delegación Transformación Digital";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 4 > Sur";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"La Normal - sede CMTI > Planta 5";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:27";
"La Normal - sede CMTI > Planta 5 > Centro";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"La Normal - sede CMTI > Planta 5 > Centro > DSI Explotación";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 5 > Centro > DSI Museo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 5 > Centro > DSI Sala reuniones";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 5 > Centro > Modernización Digital";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 5 > Norte";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"La Normal - sede CMTI > Planta 5 > Norte > DSI Comunicaciones y Seguridad";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 5 > Norte > DSI Sistemas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 5 > Norte > DSI Telefonía";"Ayuntamiento de Córdoba > Informática";"";"";"";"Sí";"0";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 5 > Sur";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"La Normal - sede CMTI > Planta 5 > Sur > DSI Almacén";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 5 > Sur > DSI Taller";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 6";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:30";
"La Normal - sede CMTI > Planta 6 > Centro";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"La Normal - sede CMTI > Planta 6 > Centro > DSI Desarrollo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 6 > Norte";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"La Normal - sede CMTI > Planta 6 > Norte > DSI Administración";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 6 > Norte > DSI Comunicaciones y Seguridad";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 6 > Norte > DSI Jefatura";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 6 > Sur";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"La Normal - sede CMTI > Planta 6 > Sur > DSI Administración";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 6 > Sur > DSI Atención usuario";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 6 > Sur > DSI Desarrollo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Normal - sede CMTI > Planta 7";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:31";
"La Normal - sede CMTI > Planta 7 > Centro";"Ayuntamiento de Córdoba > Informática";"";"";"";"No";"0";"2024-11-14 09:45";
"La Normal - sede CMTI > Planta 7 > Sur";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"La Normal - sede CMTI > Planta 7 > Sur > DIH";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"La Pérgola sede Turismo";"Ayuntamiento de Córdoba > Informática";"S104";"Avenida de la República Argentina s/n";"";"Sí";"20";"2024-06-03 08:36";
"Medio Ambiente - Zoológico";"Ayuntamiento de Córdoba > Informática";"S009";"Avenida Linneo, s/n. 14004 Córdoba";"957200807";"Sí";"25";"";
"Medio Ambiente - Zoológico > Centro de educación ambiental (medio ambiente)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Medio Ambiente - Zoológico > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Medio Ambiente - Zoológico > Planta 0 > Administración";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Medio Ambiente - Zoológico > Planta 0 > Clínica-cocina";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Medio Ambiente - Zoológico > Planta 0 > Medio ambiente";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Medio Ambiente - Zoológico > Planta 0 > Medio ambiente > Departamento de medio ambiente";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Medio Ambiente - Zoológico > Planta 0 > Medio ambiente > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Medio Ambiente - Zoológico > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Medio Ambiente - Zoológico > Planta 0 > Taquilla-vigilancia";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Medio Ambiente - Zoológico > Planta 0 > Unidad zoológico";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Mercacórdoba";"Ayuntamiento de Córdoba > Informática";"";"Avenida de las Lonjas, s/n.";"";"";"";"2023-01-05 12:18";
"Mercado Municipal de Ciudad Jardín";"Ayuntamiento de Córdoba > Informática";"S096";"Glorieta de Cisneros";"957413201";"Sí";"0";"2022-11-15 13:38";
"Mercado Municipal de La Corredera";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-15 13:38";
"Mercado Municipal del Marrubial";"Ayuntamiento de Córdoba > Informática";"S095";"Avda Jesús Rescatado, 1";"957201788";"Sí";"0";"2022-11-15 13:38";
"Mercado Municipal Huerta de la Reina";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-15 13:38";
"Mercado Municipal Naranjo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-15 13:38";
"Mercado Municipal Plaza de España";"Ayuntamiento de Córdoba > Informática";"";"C/ Gonzalo de Ayora s/n";"";"";"";"2022-11-15 13:27";
"Mercado Municipal Sector Sur";"Ayuntamiento de Córdoba > Informática";"S089";"Plaza Mediodía / Calle Motril 8";"";"Sí";"0";"2022-11-15 13:08";
"Mercado Municipal Sector Sur > Centro TIC";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-15 13:08";
"Museo Flamenco";"Ayuntamiento de Córdoba > Informática";"S064";"Plaza del Potro, 3, 14002 Córdoba";"957476829";"Sí";"2";"2022-03-16 14:23";
"Museo Flamenco > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Museo Flamenco > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Museo Flamenco > Planta 0 > Servicios centrales (Correo y Reparto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Museo Flamenco > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Museo Flamenco > Planta 1 > Museos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Museo Flamenco > Planta 1 > Programas de empleo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Museo Julio Romero de Torres";"Ayuntamiento de Córdoba > Informática";"S058";"Plaza del Potro, 1. 14002 Córdoba";"957491909";"Sí";"2";"";
"Museo Julio Romero de Torres > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Museo Julio Romero de Torres > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Museo Julio Romero de Torres > Planta 0 > Servicios centrales (Correo y Reparto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Museo Taurino";"Ayuntamiento de Córdoba > Informática";"S059";"Plaza Maimónides, 1. 14004 Córdoba";"957201056";"Sí";"5";"";
"Museo Taurino > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Museo Taurino > Planta 0 > Museos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Museo Taurino > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Museo Taurino > Planta 0 > Servicios centrales (Correo y Reparto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Oficinas Recinto Ferial";"Ayuntamiento de Córdoba > Informática";"S102";"Calle José Ramón García Fernández";"";"No";"0";"2023-12-19 12:48";
"Parque de Bomberos Central";"Ayuntamiento de Córdoba > Informática";"S004";"Avda. Custodios s/n";"957455495";"Sí";"20";"2022-11-10 08:12";
"Parque de Bomberos Central > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Parque de Bomberos Central > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Parque de Bomberos Central > Planta 1 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Parque de Bomberos Central > Planta 2";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Parque de Bomberos Central > Planta 2 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Parque de Bomberos de El Granadal";"Ayuntamiento de Córdoba > Informática";"S041";"Avenida Virgen del Mar, 47. 14014 Córdoba";"957441637";"Sí";"4";"";
"Parque de Bomberos de El Granadal > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Parque de Bomberos de El Granadal > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Parque de Bomberos de El Granadal > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Parque de Bomberos de El Granadal > Planta 1 > Aula de formación";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Parques y Jardines";"Ayuntamiento de Córdoba > Informática";"S057";"Parques y Jardines";"957326251";"Sí";"10";"";
"Parques y Jardines > Fontanería";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Parques y Jardines > Fontanería > Parques y jardines";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Parques y Jardines > Oficina";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Parques y Jardines > Oficina > Parques y jardines";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Parques y Jardines > Oficina > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"PMD Vistalegre";"Ayuntamiento de Córdoba > Informática";"S040";"Plaza de Vistalegre, s/n. 14004 Córdoba";"957453200";"Sí";"3";"2022-03-16 14:25";
"Polideportivo Sta.Cruz";"Ayuntamiento de Córdoba > Informática";"S069";"C/ Maestro Lopez León s/n";"957378027";"Sí";"8";"2023-12-19 12:48";
"Recinto Ferial El Arenal";"Ayuntamiento de Córdoba > Informática";"";"C/ Corredera, 8";"";"";"";"2022-11-15 13:22";
"SADECO";"Ayuntamiento de Córdoba > Informática";"S034";"Avenida de Medina Azahara, 4. 14005 Córdoba";"957762000";"Sí";"0";"2022-03-16 14:24";
"SADECO > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"SADECO > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Sala de Las Artes";"Ayuntamiento de Córdoba > Informática";"S105";"Plaza de las Artes, junto a la calle Mercurio (Parque Fidiana)";"";"Sí";"0";"2024-06-03 09:05";
"Sala57 (C.SocioCultural ''El Parque'')";"Ayuntamiento de Córdoba > Informática";"S088";"Plaza de la Marina Española 57";"957467826";"Sí";"0";"2022-11-15 13:04";
"Sala57 (C.SocioCultural ''El Parque'') > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-15 13:06";
"Sala57 (C.SocioCultural ''El Parque'') > Planta 0 > Centros mayores";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-15 13:06";
"Seguridad - Policía Local";"Ayuntamiento de Córdoba > Informática";"S003";"Avda. Custodios s/n";"957455300";"Sí";"200";"2022-11-10 08:12";
"Seguridad - Policía Local > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Seguridad - Policía Local > Planta 0 > Atestados";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 0 > Autorizaciones (unidad)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 0 > Equipamiento en vehículos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 0 > Movilidad (dpto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 0 > Policía judicial";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 0 > Policica local - Genérico";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 0 > Sala de material";"Ayuntamiento de Córdoba > Informática";"";"";"";"Sí";"0";"2025-03-07 14:17";
"Seguridad - Policía Local > Planta 0 > Sanciones (Multas de tráfico)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Seguridad - Policía Local > Planta 1 > Escuela policía local";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 1 > Mandos de distrito";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 1 > Medio ambiental";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 1 > Policía gestión técnica-administrativa";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 1 > Policía judicial";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 1 > Policica local - Genérico";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 1 > Repografía (equipo)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 1 > Sala control de tráfico";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 1 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 2";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Seguridad - Policía Local > Planta 2 > CPD Almacén";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 2 > Informática y desarrollo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2023-03-21 12:17";
"Seguridad - Policía Local > Planta 2 > Intendencia";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 2 > Jefatura";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 2 > Mandos de distrito";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 2 > Movilidad (dpto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 2 > Policía gestión técnica-administrativa";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 2 > Policica local - Genérico";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 2 > Protección civil";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 2 > Sala de mando y control";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 2 > Sala máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 2 > Sección unidades centralizadas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Seguridad - Policía Local > Planta 2 > Unidad transportes";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Silo";"Ayuntamiento de Córdoba > Informática";"S046";"Calle Manos Unidas, s/n. 14005 Córdoba";"957354008";"Sí";"0";"2022-03-16 14:25";
"Teatro Axerquía";"Ayuntamiento de Córdoba > Informática";"S029";"Avenida Menéndez Pidal, 1. 14004 Córdoba";"957760945";"Sí";"15";"";
"Teatro Axerquía > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Teatro Axerquía > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Teatro Góngora";"Ayuntamiento de Córdoba > Informática";"S031";"Calle Jesús María, 10. 14003 Córdoba";"957480644";"Sí";"3";"";
"Turismo (Rey Heredia)";"Ayuntamiento de Córdoba > Informática";"S047";"C/Rey Heredia, 22";"957200522";"Sí";"25";"2022-11-15 13:29";
"Turismo (Rey Heredia) > Edificio 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-15 13:30";
"Turismo (Rey Heredia) > Edificio 1 > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-15 13:30";
"Turismo (Rey Heredia) > Edificio 1 > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-15 13:31";
"Turismo (Rey Heredia) > Edificio 1 > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-15 13:31";
