"Nombre completo";"Entidad";"Complementos - Identificador";"Dirección";"Complementos - Teléfono";"Complementos - Está operativa";"Complementos - Número aprox. de usuarios";"Fecha de creación";
"Capitulares > Planta 5 > Aula de formación";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 5 > Sección sindical CC.OO.";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 5 > Sección sindical CGT";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 5 > Sección sindical CSI-F";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 5 > Sección sindical CTA";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 5 > Sección sindical SAB";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2023-05-08 13:06";
"Capitulares > Planta 5 > Sección sindical SIP-AN";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 5 > Sección sindical SIPLB";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 5 > Sección sindical U.G.T.";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 5 > Sección sindical USO";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Casa de Acogida";"Ayuntamiento de Córdoba > Informática";"S086";"Campo Madre de Dios s/n";"957253342";"Sí";"1";"2023-10-17 09:16";
"Casa de la Igualdad";"Ayuntamiento de Córdoba > Informática";"S013";"C/ Padre Cosme Muñoz, 4 (tras Mercado Corredera). 14071 Córdoba";"957499931";"Sí";"8";"";
"Casa de la Igualdad > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Casa de la Igualdad > Planta 1 > Administración";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Casa de la Igualdad > Planta 1 > Aula de formación";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Casa de la Igualdad > Planta 1 > Delegación Mujer e Igualdad";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Casa de la Igualdad > Planta 1 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Casa de la Juventud";"Ayuntamiento de Córdoba > Informática";"S008";"C. Campo Madre de Dios, s/n, 14010 Córdoba";"957764707";"Sí";"30";"";
"Casa de la Juventud > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Casa de la Juventud > Planta 0 > Administración";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Casa de la Juventud > Planta 0 > Juventud (departamento)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Casa de la Juventud > Planta 0 > Programas de empleo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Casa de la Juventud > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Casa de la Juventud > Planta 0 > Servicios centrales (Correo y Reparto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Casa de la Juventud > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Casa de la Juventud > Planta 1 > Juventud (departamento)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Casa de la Juventud > Planta 1 > Programación casa juventud";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Casa de la Juventud > Planta 2";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Casa de la Juventud > Planta 2 > Sala de lecturas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Casa Góngora";"Ayuntamiento de Córdoba > Informática";"S060";"Calle Cabezas, 3. 14003 Córdoba";"957486520";"Sí";"1";"2022-03-16 14:22";
"Casa Góngora > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Casa Góngora > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Arrabal del Sur";"Ayuntamiento de Córdoba > Informática";"S018";"Calle Santo Domingo de Guzmán. 14009 Córdoba";"957760320";"Sí";"25";"";
"CCM Arrabal del Sur > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Arrabal del Sur > Planta 0 > Almacén temporal CPD";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Arrabal del Sur > Planta 0 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Arrabal del Sur > Planta 0 > Servicios centrales (Correo y Reparto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Arrabal del Sur > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Arrabal del Sur > Planta 1 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Arrabal del Sur > Planta 1 > Oficina atención ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Arrabal del Sur > Planta 1 > Participación ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Arrabal del Sur > Planta 1 > Programas de empleo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Arrabal del Sur > Planta 1 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Arrabal del Sur > Planta 1 > Servicios sociales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Arrabal del Sur > Planta 2";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Centro";"Ayuntamiento de Córdoba > Informática";"S012";"Plaza de la Corredera, s/n. 14071 Córdoba";"957496882";"Sí";"15";"";
"CCM Centro > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Centro > Planta 1 > Aulas de Internet centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Centro > Planta 1 > Biblioteca";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Centro > Planta 1 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Centro > Planta 1 > Consejo de distrito";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Centro > Planta 1 > Participación ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Centro > Planta 1 > Promotora de igualdad - Policía local";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Centro > Planta 1 > Sala de asociaciones";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Centro > Planta 1 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Cerro Muriano";"Ayuntamiento de Córdoba > Informática";"S065";"Calle Acera Santa Barbara s/n (espaldas del Centro de salud). 14193 Cerro Muriano, Córdoba";"957350358";"Sí";"3";"";
"CCM Cerro Muriano > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Cerro Muriano > Planta 0 > Aulas de Internet centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Cerro Muriano > Planta 0 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Cerro Muriano > Planta 0 > Delegación Alcaldía en Cerro Muriano";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Cerro Muriano > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Chari Navarro (Alcolea)";"Ayuntamiento de Córdoba > Informática";"S052";"Plaza de la Cerería, s/n. 14071 Córdoba";"957320876";"Sí";"15";"";
"CCM Chari Navarro (Alcolea) > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Chari Navarro (Alcolea) > Planta 0 > Aulas de Internet centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Chari Navarro (Alcolea) > Planta 0 > Biblioteca";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Chari Navarro (Alcolea) > Planta 0 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Chari Navarro (Alcolea) > Planta 0 > Oficina atención ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
