"Nombre completo";"Entidad";"Visible en la interfaz simplificada";"ID";"Complementos - Icono";"Última actualización";
"Comunicaciones > COM. WiFi";"Ayuntamiento de Córdoba > Informática";"Sí";"56";"";"2022-03-13 13:35";
"Comunicaciones > COM. WiFi > COM-WF. Instalación de punto WiFi";"Ayuntamiento de Córdoba > Informática";"Sí";"57";"";"2022-03-13 13:36";
"Contenido web";"Ayuntamiento de Córdoba > Informática";"No";"71";"fas fa-globe";"2023-01-05 08:04";
"Contenido web > WEB. Ordenanzas y reglamentos";"Ayuntamiento de Córdoba > Informática";"No";"113";"fas fa-globe";"2023-01-05 08:04";
"Correo electrónico";"Ayuntamiento de Córdoba > Informática";"Sí";"27";"fas fa-envelope";"2022-02-06 13:44";
"Correo electrónico > EML. Cuentas de correo";"Ayuntamiento de Córdoba > Informática";"No";"28";"fas fa-envelope";"2022-05-31 14:23";
"Correo electrónico > EML. Cuentas de correo > EML-CC. Alias";"Ayuntamiento de Córdoba > Informática";"No";"69";"fas fa-envelope";"2022-05-31 14:20";
"Correo electrónico > EML. Cuentas de correo > EML-CC. Alta";"Ayuntamiento de Córdoba > Informática";"No";"29";"fas fa-envelope";"2022-05-31 14:20";
"Correo electrónico > EML. Cuentas de correo > EML-CC. Ampliación de capacidad";"Ayuntamiento de Córdoba > Informática";"No";"32";"fas fa-envelope";"2022-05-31 14:20";
"Correo electrónico > EML. Cuentas de correo > EML-CC. Baja";"Ayuntamiento de Córdoba > Informática";"No";"30";"fas fa-envelope";"2022-05-31 14:20";
"Correo electrónico > EML. Cuentas de correo > EML-CC. Modificación de identificador";"Ayuntamiento de Córdoba > Informática";"No";"31";"fas fa-envelope";"2022-05-31 14:20";
"Correo electrónico > EML. Listas de distribución";"Ayuntamiento de Córdoba > Informática";"Sí";"33";"";"2022-03-13 16:39";
"Correo electrónico > EML. Listas de distribución > EML-LD. Alta";"Ayuntamiento de Córdoba > Informática";"Sí";"34";"";"2022-01-26 17:19";
"Correo electrónico > EML. Listas de distribución > EML-LD. Baja";"Ayuntamiento de Córdoba > Informática";"Sí";"35";"";"2022-01-26 17:19";
"Correo electrónico > EML. Listas de distribución > EML-LD. Modificación de identificador";"Ayuntamiento de Córdoba > Informática";"Sí";"36";"";"2022-01-26 17:19";
"Correo electrónico > EML. Listas de distribución > EML-LD. Modificación de miembros";"Ayuntamiento de Córdoba > Informática";"Sí";"37";"";"2022-01-26 17:19";
"Equipamiento";"Ayuntamiento de Córdoba > Informática";"Sí";"48";"fas fa-desktop";"2022-01-27 08:56";
"Equipamiento > EQP. Avería";"Ayuntamiento de Córdoba > Informática";"No";"134";"fas fa-tools";"2023-09-26 10:52";
"Equipamiento > EQP. Devolución";"Ayuntamiento de Córdoba > Informática";"No";"70";"fas fa-recycle";"2024-01-12 13:03";
"Equipamiento > EQP. Petición";"Ayuntamiento de Córdoba > Informática";"No";"90";"fas fa-desktop";"2022-06-03 10:22";
"Equipamiento > EQP. Renovación";"Ayuntamiento de Córdoba > Informática";"No";"133";"fas fa-desktop";"2023-09-26 10:45";
"Gestión de usuarios";"Ayuntamiento de Córdoba > Informática";"Sí";"14";"fas fa-user";"2022-01-27 08:56";
"Gestión de usuarios > Responsables de unidad";"Ayuntamiento de Córdoba > Informática";"No";"128";"icono fa dsi icono responsable";"2023-06-02 11:15";
"Gestión de usuarios > Responsables de unidad > USU-RESP. Alta";"Ayuntamiento de Córdoba > Informática";"No";"129";"icono fa dsi icono responsable";"2023-06-02 11:16";
"Gestión de usuarios > Responsables de unidad > USU-RESP. Baja";"Ayuntamiento de Córdoba > Informática";"No";"130";"icono fa dsi icono responsable";"2023-06-02 11:17";
"Gestión de usuarios > Responsables de unidad > USU-RESP. Sustitución";"Ayuntamiento de Córdoba > Informática";"No";"131";"icono fa dsi icono responsable";"2023-06-02 11:20";
"Gestión de usuarios > Usuarios aplicaciones";"Ayuntamiento de Córdoba > Informática";"Sí";"16";"dsi fa usu-apl";"2022-01-26 17:17";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Actas de Pleno y JGL";"Ayuntamiento de Córdoba > Informática";"Sí";"23";"dsi fa usu-apl";"2022-05-01 11:25";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Acuses";"Ayuntamiento de Córdoba > Informática";"No";"79";"dsi fa usu-apl";"2022-05-31 14:21";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Asociaciones";"Ayuntamiento de Córdoba > Informática";"No";"115";"dsi fa usu-apl";"2022-12-20 11:40";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Cita Previa CIGES";"Ayuntamiento de Córdoba > Informática";"Sí";"132";"dsi fa usu-apl";"2023-07-24 09:55";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Cliente ligero SCSP";"Ayuntamiento de Córdoba > Informática";"Sí";"209";"dsi fa usu-apl";"2025-02-10 12:33";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. CORE";"Ayuntamiento de Córdoba > Informática";"No";"81";"dsi fa usu-apl";"2022-05-31 14:21";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Correo y Reparto";"Ayuntamiento de Córdoba > Informática";"No";"21";"dsi fa usu-apl";"2022-05-31 14:21";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. eCO";"Ayuntamiento de Córdoba > Informática";"No";"83";"dsi fa usu-apl";"2022-05-31 14:21";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. EPRIPER";"Ayuntamiento de Córdoba > Informática";"No";"86";"dsi fa usu-apl";"2022-05-31 14:21";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. EXTRA";"Ayuntamiento de Córdoba > Informática";"No";"87";"dsi fa usu-apl";"2022-05-31 14:22";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. FIRMADOC";"Ayuntamiento de Córdoba > Informática";"No";"77";"dsi fa usu-apl";"2022-05-31 14:22";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. GIS (ide.cordoba.es)";"Ayuntamiento de Córdoba > Informática";"No";"122";"dsi fa usu-apl";"2023-02-03 13:31";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. GPA";"Ayuntamiento de Córdoba > Informática";"No";"22";"dsi fa usu-apl";"2022-05-31 14:22";
